review_id,silver_labels,silver_scores
20,"[np.int64(88), np.int64(367), np.int64(506)]","[0.642606629953038, 0.6348117925392691, 0.6266099339761516]"
21,"[np.int64(21), np.int64(76), np.int64(89)]","[0.6980746606382057, 0.6689739104718432, 0.699999960465205]"
22,"[np.int64(157), np.int64(345), np.int64(392)]","[0.6324698845239948, 0.6226307327887443, 0.6509725975187106]"
23,"[np.int64(373), np.int64(388), np.int64(422)]","[0.686940646058183, 0.6394464178351993, 0.6727369264405635]"
24,"[np.int64(85), np.int64(364), np.int64(442)]","[0.6331103320549804, 0.6326878886987791, 0.6349383067773708]"
25,"[np.int64(253), np.int64(461), np.int64(473)]","[0.6422488274715551, 0.7031820502045105, 0.8971269165725047]"
26,"[np.int64(50), np.int64(85), np.int64(100)]","[0.6774859273815496, 0.8410318880153912, 0.6974638063421184]"
27,"[np.int64(32), np.int64(68), np.int64(412)]","[0.687529352588575, 0.6689944097483573, 0.6592430861014751]"
28,"[np.int64(62), np.int64(510), np.int64(511)]","[0.7089948459387778, 0.5774580772489792, 0.6202488493150765]"
29,"[np.int64(24), np.int64(57), np.int64(365)]","[0.6119486232318501, 0.6265818536155568, 0.5940380942043765]"
30,"[np.int64(120), np.int64(269), np.int64(335)]","[0.6321035542557776, 0.6165973855631682, 0.6999999594098149]"
31,"[np.int64(171), np.int64(421), np.int64(504)]","[0.7361673970103523, 0.6820037040795125, 0.6325814076581188]"
32,"[np.int64(162), np.int64(288), np.int64(468)]","[0.6694205394389352, 0.6516514402080872, 0.9177572416866213]"
33,"[np.int64(93), np.int64(338), np.int64(414)]","[0.6942661943769874, 0.6448916985723142, 0.6596475962510283]"
34,"[np.int64(209), np.int64(293), np.int64(388)]","[0.6499835600987498, 0.8519112981958687, 0.8654325851603364]"
35,"[np.int64(208), np.int64(465), np.int64(475)]","[0.6128936153914436, 0.61049028890887, 0.6038596886097558]"
36,"[np.int64(80), np.int64(448), np.int64(461)]","[0.6551699080862152, 0.889398394963347, 0.6257329632709124]"
37,"[np.int64(76), np.int64(218), np.int64(511)]","[0.6463697885253379, 0.6469728134615037, 0.6592210637065079]"
38,"[np.int64(66), np.int64(163), np.int64(232)]","[0.7668061756116012, 0.6889697450542365, 0.6632793645170529]"
39,"[np.int64(84), np.int64(411), np.int64(530)]","[0.6032333432740202, 0.5975233323331047, 0.5967317248308531]"
40,"[np.int64(246), np.int64(333), np.int64(426)]","[0.6734967764608758, 0.6350639590247877, 0.672072289952523]"
41,"[np.int64(88), np.int64(162), np.int64(253)]","[0.6160972280048561, 0.6078857408500052, 0.8279164703917838]"
42,"[np.int64(231), np.int64(242), np.int64(437)]","[0.7207132990433742, 0.7887815810044564, 0.6682154185198466]"
43,"[np.int64(206), np.int64(261), np.int64(479)]","[0.6341028919454387, 0.6239459852937994, 0.6721647251700461]"
44,"[np.int64(217), np.int64(327), np.int64(530)]","[0.6614493484657984, 0.7042502230226477, 0.6447664502268451]"
45,"[np.int64(335), np.int64(345), np.int64(473)]","[0.7635928368393348, 0.6689847999354196, 0.8690484614049309]"
46,"[np.int64(20), np.int64(57), np.int64(422)]","[0.6842219502665099, 0.6394793922593989, 0.6999999556113021]"
47,"[np.int64(377), np.int64(471), np.int64(479)]","[0.6999999581211273, 0.6760297723141828, 0.66639509311734]"
48,"[np.int64(83), np.int64(90), np.int64(338)]","[0.6686361215316211, 0.7612686478048702, 0.6637043478951827]"
49,"[np.int64(12), np.int64(265), np.int64(512)]","[0.6122824730904968, 0.611890732170902, 0.6254030125029271]"
50,"[np.int64(67), np.int64(346), np.int64(501)]","[0.5886046239889282, 0.7602947063739358, 0.7434054630569285]"
51,"[np.int64(173), np.int64(293), np.int64(388)]","[0.6841999973776315, 0.7372534555729647, 0.8699919468786725]"
52,"[np.int64(88), np.int64(264), np.int64(468)]","[0.6823284004343592, 0.6896334751993274, 0.6999999552996641]"
53,"[np.int64(229), np.int64(279), np.int64(297)]","[0.6482180181224317, 0.6599545718372238, 0.6960759428124995]"
54,"[np.int64(89), np.int64(246), np.int64(345)]","[0.6620186040280835, 0.699999963596015, 0.5962039628279338]"
55,"[np.int64(67), np.int64(265), np.int64(510)]","[0.6231023556378693, 0.6131503097582365, 0.6314370822235887]"
56,"[np.int64(65), np.int64(261), np.int64(512)]","[0.6802155508241773, 0.6479705635566826, 0.6416382949649666]"
57,"[np.int64(163), np.int64(242), np.int64(318)]","[0.6033618443336018, 0.8200617332282203, 0.597358276090133]"
58,"[np.int64(65), np.int64(231), np.int64(356)]","[0.6852210825312264, 0.6332180634303066, 0.6479370505443679]"
59,"[np.int64(171), np.int64(490), np.int64(529)]","[0.7834471153493532, 0.7343177663722867, 0.6866776060623121]"
60,"[np.int64(171), np.int64(383), np.int64(504)]","[0.7897505223363281, 0.6499283707179848, 0.6408723666905096]"
61,"[np.int64(32), np.int64(249), np.int64(387)]","[0.6463829879523982, 0.6624099563753191, 0.6226446125958488]"
62,"[np.int64(84), np.int64(93), np.int64(231)]","[0.83466525750166, 0.5921638858748266, 0.6869709449155355]"
63,"[np.int64(80), np.int64(461), np.int64(473)]","[0.7542120159234742, 0.6989492198679113, 0.8749255466861076]"
64,"[np.int64(180), np.int64(387), np.int64(530)]","[0.7488468903871983, 0.6777091822186038, 0.6976265721097671]"
65,"[np.int64(77), np.int64(288), np.int64(380)]","[0.667700727033941, 0.6957814763502629, 0.65247023433974]"
66,"[np.int64(217), np.int64(303), np.int64(351)]","[0.6679219672433577, 0.7815705770247237, 0.6284121002326979]"
67,"[np.int64(341), np.int64(383), np.int64(479)]","[0.6422703585984103, 0.84067004535297, 0.756098114728781]"
68,"[np.int64(206), np.int64(313), np.int64(369)]","[0.6287144448843729, 0.6153609750373268, 0.7376022612468351]"
69,"[np.int64(343), np.int64(490), np.int64(529)]","[0.6820079758111297, 0.8803759142378755, 0.8748601623384168]"
70,"[np.int64(76), np.int64(350), np.int64(405)]","[0.6676202973180966, 0.7163959648675522, 0.6748027040063838]"
71,"[np.int64(28), np.int64(63), np.int64(232)]","[0.6163228820455345, 0.678115178006436, 0.6861810497970183]"
72,"[np.int64(27), np.int64(276), np.int64(318)]","[0.6899371443284087, 0.6044931248064841, 0.6079116432179149]"
73,"[np.int64(6), np.int64(70), np.int64(133)]","[0.6999999567919252, 0.6770635856747056, 0.6303614144561851]"
74,"[np.int64(30), np.int64(200), np.int64(510)]","[0.7436181761667631, 0.6483928773764988, 0.999999935535166]"
75,"[np.int64(242), np.int64(335), np.int64(461)]","[0.786502602000063, 0.6999999550616504, 0.6934054966985624]"
76,"[np.int64(192), np.int64(465), np.int64(470)]","[0.6889516696560964, 0.597986533303304, 0.61043831172734]"
77,"[np.int64(30), np.int64(209), np.int64(297)]","[0.6803204572790711, 0.6542027865445076, 0.6799981433399066]"
78,"[np.int64(85), np.int64(232), np.int64(269)]","[0.6770580440682609, 0.6785547111872408, 0.6975488604187711]"
79,"[np.int64(158), np.int64(345), np.int64(377)]","[0.6998945499203639, 0.7088163165123216, 0.6999999638081521]"
80,"[np.int64(220), np.int64(422), np.int64(475)]","[0.6215868444836927, 0.6999999558970671, 0.6448494754549802]"
81,"[np.int64(288), np.int64(501), np.int64(511)]","[0.6973678393515157, 0.6551802314136376, 0.6717313770319293]"
82,"[np.int64(76), np.int64(90), np.int64(157)]","[0.6999999599882043, 0.6690548624493399, 0.6438320112600178]"
83,"[np.int64(83), np.int64(279), np.int64(502)]","[0.808897303953932, 0.6440413019888257, 0.626106502796009]"
84,"[np.int64(32), np.int64(167), np.int64(249)]","[0.6735801019438323, 0.630554938721934, 0.6206852448569601]"
85,"[np.int64(120), np.int64(171), np.int64(411)]","[0.6093301904183233, 0.8980574391457274, 0.6241189667389654]"
86,"[np.int64(87), np.int64(257), np.int64(309)]","[0.6397771932678759, 0.6484263293502914, 0.6671788468558331]"
87,"[np.int64(292), np.int64(301), np.int64(364)]","[0.7062989179788965, 0.7803136371244945, 0.6645097425910489]"
88,"[np.int64(49), np.int64(388), np.int64(479)]","[0.7434870733003012, 0.6727003342877192, 0.6684203441735129]"
89,"[np.int64(358), np.int64(405), np.int64(507)]","[0.67797499060535, 0.7207659843337041, 0.6673435890749639]"
90,"[np.int64(208), np.int64(218), np.int64(358)]","[0.5817622655559246, 0.5957008424247215, 0.5811388481629899]"
91,"[np.int64(89), np.int64(171), np.int64(504)]","[0.6527548527374478, 0.8115216716090171, 0.6385190606744078]"
92,"[np.int64(258), np.int64(306), np.int64(471)]","[0.7358622673567423, 0.7241145877338351, 0.6640091413714159]"
93,"[np.int64(279), np.int64(387), np.int64(470)]","[0.6435037411171903, 0.6502990764774776, 0.6261528220103748]"
94,"[np.int64(172), np.int64(297), np.int64(341)]","[0.7054243583858479, 0.673820173183832, 0.6161635012183347]"
95,"[np.int64(148), np.int64(157), np.int64(509)]","[0.6732784204058931, 0.6831454400623498, 0.6682006083963137]"
96,"[np.int64(377), np.int64(465), np.int64(473)]","[0.6999999647133146, 0.6296180465942677, 0.7800640646884146]"
97,"[np.int64(192), np.int64(269), np.int64(471)]","[0.6946745799149744, 0.6465461532074345, 0.6291494736089274]"
98,"[np.int64(67), np.int64(71), np.int64(253)]","[0.71043704110881, 0.6166672835883739, 0.6723291085344288]"
99,"[np.int64(93), np.int64(341), np.int64(383)]","[0.6711719946432306, 0.6113128939085264, 0.8815136688304581]"
100,"[np.int64(88), np.int64(501), np.int64(530)]","[0.6311963634837382, 0.6291014826590541, 0.631335240240885]"
101,"[np.int64(39), np.int64(318), np.int64(481)]","[0.6218216250687125, 0.6200377315120374, 0.6028661413343932]"
102,"[np.int64(163), np.int64(335), np.int64(369)]","[0.6714004391321338, 0.699999956903187, 0.7996324179492729]"
103,"[np.int64(208), np.int64(262), np.int64(422)]","[0.644948358261613, 0.7772584346842855, 0.6999999643338521]"
104,"[np.int64(288), np.int64(465), np.int64(504)]","[0.6282344063329136, 0.6411593375658895, 0.6419667768906329]"
105,"[np.int64(84), np.int64(200), np.int64(246)]","[0.6604778022262343, 0.6330524226244221, 0.6807641997063215]"
106,"[np.int64(261), np.int64(304), np.int64(511)]","[0.6681865666531562, 0.7312440814968859, 0.6754868458741593]"
107,"[np.int64(25), np.int64(269), np.int64(421)]","[0.6360229633140682, 0.6473153120929445, 0.7315519057050222]"
108,"[np.int64(28), np.int64(232), np.int64(468)]","[0.6967849090011629, 0.6344440474678097, 0.6302736800455961]"
109,"[np.int64(12), np.int64(23), np.int64(72)]","[0.7002538970637628, 0.6542700461880788, 0.7398939120235228]"
110,"[np.int64(63), np.int64(414), np.int64(522)]","[0.8370577560314858, 0.7020343133207918, 0.788038259520294]"
111,"[np.int64(47), np.int64(297), np.int64(511)]","[0.7156519022748022, 0.6197035767616002, 0.6808581743735783]"
112,"[np.int64(88), np.int64(338), np.int64(442)]","[0.6946379713528137, 0.7374601505389887, 0.8972105470287248]"
113,"[np.int64(157), np.int64(249), np.int64(364)]","[0.6438468660567335, 0.6895938658194005, 0.662398776685562]"
114,"[np.int64(29), np.int64(75), np.int64(448)]","[0.7210400693648384, 0.6204833215840381, 0.7108879503626092]"
115,"[np.int64(25), np.int64(67), np.int64(253)]","[0.5995373622835162, 0.7145011002895303, 0.6155121260151625]"
116,"[np.int64(89), np.int64(352), np.int64(443)]","[0.6999999568835611, 0.6237701192830731, 0.6970096900260315]"
117,"[np.int64(32), np.int64(218), np.int64(244)]","[0.6471964293971482, 0.6238865585940482, 0.6245757610139316]"
118,"[np.int64(61), np.int64(77), np.int64(358)]","[0.6425008374139314, 0.5972299623908494, 0.5985127232838284]"
119,"[np.int64(85), np.int64(403), np.int64(471)]","[0.6282006402279722, 0.6248805534799882, 0.6489602387234541]"
120,"[np.int64(64), np.int64(229), np.int64(381)]","[0.641389214356611, 0.6812424641156419, 0.69366096960983]"
121,"[np.int64(90), np.int64(157), np.int64(412)]","[0.6511854007735204, 0.6322588438961195, 0.6473330324916139]"
122,"[np.int64(77), np.int64(225), np.int64(268)]","[0.705004824535334, 0.7065618756998847, 0.7362778850870737]"
123,"[np.int64(12), np.int64(236), np.int64(387)]","[0.6104483894646331, 0.6122925329234248, 0.6544121116818553]"
124,"[np.int64(208), np.int64(279), np.int64(358)]","[0.6364489877540832, 0.6327477349777149, 0.6742425871240495]"
125,"[np.int64(65), np.int64(79), np.int64(442)]","[0.6418394105059427, 0.6814357304780285, 0.6493486225463114]"
126,"[np.int64(381), np.int64(443), np.int64(490)]","[0.6930920003427755, 0.6467486298469747, 0.637382025976742]"
127,"[np.int64(48), np.int64(365), np.int64(424)]","[0.8505920637734732, 0.6753682349082398, 0.6833944810466365]"
128,"[np.int64(67), np.int64(246), np.int64(468)]","[0.7025710870890587, 0.8404816757876789, 0.6999999607716086]"
129,"[np.int64(83), np.int64(395), np.int64(502)]","[0.7646114330517326, 0.6765250014729743, 0.6452276439413649]"
130,"[np.int64(206), np.int64(364), np.int64(369)]","[0.6436268601716998, 0.6327805367109463, 0.7293430335458231]"
131,"[np.int64(89), np.int64(190), np.int64(510)]","[0.942016271377079, 0.6956578326739374, 0.6785239761266276]"
132,"[np.int64(207), np.int64(475), np.int64(530)]","[0.6160888271409646, 0.6350928546480207, 0.6325600338020512]"
133,"[np.int64(63), np.int64(148), np.int64(410)]","[0.5998724977379764, 0.5983937719349948, 0.6246813971426207]"
134,"[np.int64(171), np.int64(370), np.int64(501)]","[0.7988205604831802, 0.6081148466890295, 0.6044107655472246]"
135,"[np.int64(29), np.int64(85), np.int64(510)]","[0.7104812484692719, 0.6243874013425572, 0.6337534420095313]"
136,"[np.int64(25), np.int64(207), np.int64(209)]","[0.8497498960062423, 0.6561640465127393, 0.6890256736007209]"
137,"[np.int64(76), np.int64(158), np.int64(253)]","[0.6925007474624899, 0.6782760142111399, 0.6799778119942114]"
138,"[np.int64(68), np.int64(83), np.int64(502)]","[0.6720696544426782, 0.9344313766008342, 0.8499804416396861]"
139,"[np.int64(83), np.int64(249), np.int64(377)]","[0.6207455066772504, 0.6159000997260957, 0.6999999620124625]"
140,"[np.int64(442), np.int64(448), np.int64(481)]","[0.91808553554881, 0.7375667480971266, 0.708324970278869]"
141,"[np.int64(65), np.int64(231), np.int64(511)]","[0.7346929592717276, 0.6499080656715729, 0.87271505186186]"
142,"[np.int64(61), np.int64(93), np.int64(468)]","[0.7105984434621622, 0.7847553471630464, 0.6999999600403265]"
143,"[np.int64(93), np.int64(345), np.int64(493)]","[0.9244687634159644, 0.6606911356277537, 0.6909503245875204]"
144,"[np.int64(57), np.int64(167), np.int64(333)]","[0.6280204475126921, 0.6739237302523675, 0.6417584328915918]"
145,"[np.int64(30), np.int64(68), np.int64(470)]","[0.7399277603662896, 0.6507000853701512, 0.6399437882409851]"
146,"[np.int64(15), np.int64(77), np.int64(479)]","[0.6231739115501184, 0.6065992929327794, 0.5883991673185325]"
147,"[np.int64(84), np.int64(335), np.int64(350)]","[0.651647186700551, 0.6856160159589554, 0.6926604251201836]"
148,"[np.int64(32), np.int64(422), np.int64(507)]","[0.6430218231522163, 0.6999999652937797, 0.721242390369348]"
149,"[np.int64(90), np.int64(345), np.int64(470)]","[0.6999999643464524, 0.6922423201727463, 0.6651460938584185]"
150,"[np.int64(12), np.int64(72), np.int64(510)]","[0.6886881438884622, 0.7118937689429179, 0.6999999631222455]"
151,"[np.int64(80), np.int64(172), np.int64(383)]","[0.6412516314542764, 0.6235098164149273, 0.6351079629253692]"
152,"[np.int64(63), np.int64(88), np.int64(208)]","[0.6444367204565292, 0.6462214246942434, 0.6256332281530818]"
153,"[np.int64(25), np.int64(163), np.int64(242)]","[0.629796580301459, 0.6731722669827961, 0.7974646123103487]"
154,"[np.int64(73), np.int64(246), np.int64(473)]","[0.6649321675669877, 0.6643198242690972, 0.7201133957371066]"
155,"[np.int64(269), np.int64(274), np.int64(509)]","[0.6798434689945371, 0.6637528474194889, 0.6669058870368497]"
156,"[np.int64(61), np.int64(93), np.int64(327)]","[0.7048707350548882, 0.7833150786436471, 0.7006896221623548]"
157,"[np.int64(25), np.int64(40), np.int64(246)]","[0.6309798571362966, 0.6076645272574093, 0.8742200608649044]"
158,"[np.int64(442), np.int64(448), np.int64(461)]","[0.817707187540617, 0.767504346218024, 0.7864330910602606]"
159,"[np.int64(87), np.int64(157), np.int64(471)]","[0.629733441639867, 0.6444269197932629, 0.6134994005696995]"
160,"[np.int64(90), np.int64(288), np.int64(461)]","[0.6999999542831938, 0.6097648836041496, 0.6401089179916485]"
161,"[np.int64(76), np.int64(148), np.int64(356)]","[0.6852649421473835, 0.7000480999499517, 0.6850495680557889]"
162,"[np.int64(80), np.int64(479), np.int64(511)]","[0.621501946480783, 0.7399722386060662, 0.863851079701042]"
163,"[np.int64(170), np.int64(387), np.int64(465)]","[0.7385532610158576, 0.6694522217565407, 0.6549523142260496]"
164,"[np.int64(38), np.int64(47), np.int64(395)]","[0.6607894138542023, 0.764706509803214, 0.7287801955377675]"
165,"[np.int64(6), np.int64(97), np.int64(228)]","[0.6893810745601412, 0.770864120054475, 0.7001867958848529]"
166,"[np.int64(57), np.int64(218), np.int64(369)]","[0.6041299325344822, 0.632526331545101, 0.767985620410857]"
167,"[np.int64(84), np.int64(337), np.int64(358)]","[0.6384852949087236, 0.7841652078683651, 0.6996974166519631]"
168,"[np.int64(32), np.int64(63), np.int64(530)]","[0.9761248989244473, 0.6311160892456363, 0.6445290069364313]"
169,"[np.int64(82), np.int64(335), np.int64(473)]","[0.7419171703890015, 0.7591478366665453, 0.7795220129016694]"
170,"[np.int64(43), np.int64(405), np.int64(509)]","[0.7231911663856903, 0.6727939299840212, 0.7345622132684547]"
171,"[np.int64(94), np.int64(288), np.int64(380)]","[0.6929101549324664, 0.7987821858251004, 0.6828849701291867]"
172,"[np.int64(86), np.int64(269), np.int64(377)]","[0.6400250792469715, 0.6784096636349369, 0.6999999583016895]"
173,"[np.int64(87), np.int64(190), np.int64(475)]","[0.6817425695179367, 0.7674831781093334, 0.6756293122996563]"
174,"[np.int64(98), np.int64(327), np.int64(364)]","[0.6014218578665856, 0.672761744986982, 0.6771217582854404]"
175,"[np.int64(318), np.int64(341), np.int64(383)]","[0.6469610299878912, 0.6468303553515476, 0.8431811642763677]"
176,"[np.int64(171), np.int64(422), np.int64(501)]","[0.8001134723881858, 0.699999964735431, 0.659040473381593]"
177,"[np.int64(338), np.int64(461), np.int64(473)]","[0.7575825965022785, 0.7163112595759776, 0.8514406345328533]"
178,"[np.int64(261), np.int64(479), np.int64(504)]","[0.6450198315729391, 0.6643220285859939, 0.6882370204078748]"
179,"[np.int64(297), np.int64(506), np.int64(507)]","[0.6666107454060096, 0.6566019992657463, 0.7151447927814435]"
180,"[np.int64(48), np.int64(85), np.int64(364)]","[0.6409336817417925, 0.642663389859704, 0.6411776349238888]"
181,"[np.int64(279), np.int64(338), np.int64(473)]","[0.6398928314425063, 0.6662189766417214, 0.8917927119766051]"
182,"[np.int64(279), np.int64(504), np.int64(521)]","[0.6567965447624246, 0.678847612676045, 0.6703369029124739]"
183,"[np.int64(208), np.int64(465), np.int64(481)]","[0.6415824281744427, 0.6165265556539734, 0.8755051467163206]"
184,"[np.int64(27), np.int64(246), np.int64(276)]","[0.704756155124221, 0.8741298129708739, 0.677909810456093]"
185,"[np.int64(86), np.int64(173), np.int64(506)]","[0.6759390674009135, 0.7780235772963029, 0.6854879222862534]"
186,"[np.int64(358), np.int64(407), np.int64(503)]","[0.6694383329253956, 0.7902651910787251, 0.6649879980169249]"
187,"[np.int64(34), np.int64(75), np.int64(424)]","[0.6406000936873917, 0.6456005427424784, 0.651552922273066]"
188,"[np.int64(351), np.int64(387), np.int64(424)]","[0.7430646302826334, 0.6311624566309394, 0.5881998571399085]"
189,"[np.int64(12), np.int64(57), np.int64(211)]","[0.6728883879382327, 0.6915988977124825, 0.6843923550174371]"
190,"[np.int64(79), np.int64(91), np.int64(335)]","[0.6342449896430826, 0.650072919516328, 0.6999999647142907]"
191,"[np.int64(79), np.int64(82), np.int64(468)]","[0.594817418998479, 0.7144907742838704, 0.6999999611126068]"
192,"[np.int64(333), np.int64(373), np.int64(510)]","[0.8159947034670045, 0.6434658883601299, 0.6662541026517608]"
193,"[np.int64(64), np.int64(83), np.int64(231)]","[0.7800574308077802, 0.8786634102459995, 0.7213797168834478]"
194,"[np.int64(218), np.int64(232), np.int64(253)]","[0.6402165206235066, 0.6209503377752977, 0.6357999773969416]"
195,"[np.int64(172), np.int64(261), np.int64(471)]","[0.6382539329034026, 0.6405793732084429, 0.6644225883322937]"
196,"[np.int64(209), np.int64(501), np.int64(510)]","[0.7135894497100853, 0.6757205516567084, 0.8874096183739211]"
197,"[np.int64(157), np.int64(345), np.int64(419)]","[0.6069387172844837, 0.679576404569947, 0.6762804468573729]"
198,"[np.int64(67), np.int64(89), np.int64(370)]","[0.6854546637977017, 0.6789564128127206, 0.8110625945551914]"
199,"[np.int64(88), np.int64(383), np.int64(466)]","[0.6652881242936459, 0.6968878580295267, 0.6682617584926469]"
200,"[np.int64(90), np.int64(338), np.int64(473)]","[0.7838907627709842, 0.6741069302283642, 0.8672582632046502]"
201,"[np.int64(377), np.int64(422), np.int64(512)]","[0.6999999631512547, 0.6757552828247944, 0.8584343742685341]"
202,"[np.int64(77), np.int64(249), np.int64(370)]","[0.6610220648176974, 0.6458738984639927, 0.6294853562214434]"
203,"[np.int64(83), np.int64(369), np.int64(502)]","[0.686380905028814, 0.8063846242700115, 0.6582984340344805]"
204,"[np.int64(377), np.int64(461), np.int64(465)]","[0.6999999616569802, 0.6333643605385826, 0.6265237873406777]"
205,"[np.int64(262), np.int64(387), np.int64(504)]","[0.6597516406799472, 0.6408499517140349, 0.6413147884367502]"
206,"[np.int64(65), np.int64(335), np.int64(338)]","[0.6925771676038289, 0.8981974213760217, 0.70876280466896]"
207,"[np.int64(249), np.int64(422), np.int64(470)]","[0.570512102088779, 0.6999999575862641, 0.5571731457601417]"
208,"[np.int64(68), np.int64(148), np.int64(275)]","[0.6718298920272923, 0.7965258563047682, 0.698050083685954]"
209,"[np.int64(32), np.int64(43), np.int64(90)]","[0.638609317645398, 0.6737112996252821, 0.7501187063473321]"
210,"[np.int64(103), np.int64(388), np.int64(451)]","[0.6363182320618679, 0.5811394639948356, 0.5940917738237343]"
211,"[np.int64(76), np.int64(279), np.int64(288)]","[0.6031253063719154, 0.6300610666584456, 0.6258230579453948]"
212,"[np.int64(89), np.int64(223), np.int64(501)]","[0.6999999614864282, 0.7910773257404209, 0.6489528208678541]"
213,"[np.int64(50), np.int64(100), np.int64(169)]","[0.7216318363542966, 0.7449351743841534, 0.6720619684747362]"
214,"[np.int64(98), np.int64(216), np.int64(440)]","[0.6167302315915456, 0.5869829879923879, 0.5883257924553653]"
215,"[np.int64(65), np.int64(88), np.int64(269)]","[0.6266464257418796, 0.8378242977122384, 0.6258961486711805]"
216,"[np.int64(180), np.int64(229), np.int64(381)]","[0.6771202689777, 0.6646143079106355, 0.7474678596385576]"
217,"[np.int64(275), np.int64(364), np.int64(511)]","[0.7823692747912043, 0.648142045966794, 0.6173308364955009]"
218,"[np.int64(191), np.int64(228), np.int64(293)]","[0.6727630786538618, 0.6691807556346587, 0.8272098470704801]"
219,"[np.int64(203), np.int64(298), np.int64(451)]","[0.7051666193788343, 0.7261863247095531, 0.6597693185481017]"
220,"[np.int64(61), np.int64(89), np.int64(470)]","[0.7947010100671665, 0.6584756683444328, 0.6210748414542717]"
221,"[np.int64(209), np.int64(479), np.int64(490)]","[0.693580574445547, 0.8619560439940024, 0.6815474975677799]"
222,"[np.int64(106), np.int64(257), np.int64(522)]","[0.7151130414762084, 0.6891994703370429, 0.6458249957973341]"
223,"[np.int64(162), np.int64(200), np.int64(242)]","[0.6200177827428585, 0.6155015980998039, 0.8872954861259537]"
224,"[np.int64(261), np.int64(471), np.int64(504)]","[0.6462341779317152, 0.6297083785489439, 0.6999999623143836]"
225,"[np.int64(208), np.int64(220), np.int64(468)]","[0.6107461609817975, 0.5969640796829498, 0.6858376198650515]"
226,"[np.int64(57), np.int64(85), np.int64(147)]","[0.603461761177557, 0.5917946849558006, 0.6537767842614517]"
227,"[np.int64(39), np.int64(162), np.int64(240)]","[0.5950468620344872, 0.5916017492298463, 0.6975875961434569]"
228,"[np.int64(79), np.int64(80), np.int64(333)]","[0.6336033318296571, 0.6450253032483788, 0.6211815326286755]"
229,"[np.int64(68), np.int64(249), np.int64(358)]","[0.6620627343020558, 0.6439616079498496, 0.6554394669188371]"
230,"[np.int64(231), np.int64(297), np.int64(321)]","[0.6928206502473737, 0.664519787348563, 0.7300345352891888]"
231,"[np.int64(40), np.int64(261), np.int64(410)]","[0.6497955146938273, 0.6460592737753809, 0.6457278686458353]"
232,"[np.int64(76), np.int64(87), np.int64(103)]","[0.673853312797209, 0.6479561613640227, 0.6445002119178408]"
233,"[np.int64(90), np.int64(442), np.int64(473)]","[0.8083257508204933, 0.6444247248945151, 0.9264766623581517]"
234,"[np.int64(76), np.int64(130), np.int64(468)]","[0.6551427008818878, 0.7427232801413555, 0.7724366207724885]"
235,"[np.int64(60), np.int64(84), np.int64(269)]","[0.6296452017690102, 0.6275534579592871, 0.6384561587355727]"
236,"[np.int64(76), np.int64(345), np.int64(510)]","[0.7164704494336477, 0.6352708696360074, 0.6553144030616799]"
237,"[np.int64(87), np.int64(246), np.int64(383)]","[0.6578305878405186, 0.6414578266281381, 0.699999964258387]"
